Name,GEOID,Longitude,Latitude,UnemploymentRate,HighSchoolGraduation,MedianHouseholdIncome,PovertyRate,PerCapitaIncome,PerceivedNeighborhoodViolenceRate,EaseOfWalkingToTransitStopRate,MeanTravelTimeToWork,ParticulateMatterConcentration,PerceivedNeighborhoodCleanlinessRate,FoodInsecurityRate,OverallHealthStatusRate,PrimaryCareProviderRate,RoutineCheckupRate,ReceivedNeededCareRate
South Deering,51,-87.570058,41.690639,15.23470762,82.51625186,38071.76407,29.95218723,21042.06667,38.92512231,70.88364433,39.84016979,9.570696366,36.70662266,30.59873298,84.0453752,86.0304629,89.3701672,79.24879646
East Side,52,-87.534907,41.707306,7.395193066,73.84979994,59683.2529,14.51313988,23386.06513,35.16126196,60.13171744,36.3872403,9.441940147,38.29111058,17.89303963,85.45803667,77.23452537,84.16374438,59.06590258
West Pullman,53,-87.635745,41.67382,18.65481109,88.15862157,43871.40879,22.75809713,22820.45987,39.46155491,63.12475367,39.44246327,9.726024245,26.01981962,29.58821563,80.21204564,90.22319109,88.99300418,78.43265817
Riverdale,54,-87.602849,41.660137,27.4141484,85.86545289,19977.68292,52.1006262,13127.48995,64.91181207,72.46499816,41.01750284,9.724582701,36.55498203,47.6106066,68.33654454,83.23919796,92.95578948,80.84556099
Hegewisch,55,-87.556803,41.668188,10.99322305,85.42317052,64476.46308,12.35256876,28855.41982,28.22363513,72.3344434,37.20426585,9.638421408,35.39055193,13.96429264,94.30974298,90.43673967,73.71026787,82.67576907
Garfield Ridge,56,-87.764246,41.796185,5.202227681,83.40215611,83088.19049,6.445995781,34634.44907,10.45422342,76.76290857,33.75533063,9.581984009,74.04264881,12.93171176,87.30790066,88.91921379,82.77767386,66.44245472
Archer Heights,57,-87.726365,41.810873,13.67570787,75.12969698,55327.50553,9.808413274,23109.64392,35.50208879,69.15073851,33.29608068,9.515035381,42.43098202,14.33675534,81.63075919,82.74443224,72.03163603,40.04753008
Brighton Park,58,-87.698859,41.817364,9.677438738,70.83524386,47842.04888,18.72803828,20367.51476,48.32472317,65.34807522,31.70762202,9.463563115,30.14411616,17.2998807,78.88776132,81.90097084,71.55243326,68.89839922
McKinley Park,59,-87.6725,41.829927,8.08251564,76.17309543,63710.47297,12.34504615,29734.97082,12.57712992,76.08339106,30.00887213,9.385235901,59.38691512,18.49962008,90.75003637,86.77075012,74.57845559,51.82484356
Lake View,6,-87.656001,41.944236,3.68886087,98.0423632,105166.323,7.918855053,80110.22991,27.7354849,92.80760719,33.88583714,8.927360163,63.63652675,12.20640529,95.74164082,78.39647407,70.54112952,83.3551054
